Depth (km), Temperature (K)
1.527879799666110330e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.525208681135225390e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.522537562604340451e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.519866444073455511e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.517195325542571140e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.514524207011686201e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.511853088480801262e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.509181969949916606e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.506510851419031667e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.503839732888146727e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.501168614357262072e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.498497495826377417e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.495826377295492478e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.493155258764607822e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.490484140233722883e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.487813021702837943e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.485141903171953288e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.482470784641068349e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.479799666110183693e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.477128547579299038e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.474457429048414099e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.471786310517529159e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.469115191986644220e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.466444073455759565e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.463772954924874909e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.461101836393989970e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.458430717863105315e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.455759599332220375e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.453088480801335436e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.450417362270450781e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.447746243739565841e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.445075125208680902e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.442404006677796531e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.439732888146911591e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.437061769616026652e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.434390651085141997e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.431719532554257057e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.429048414023372118e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.426377295492487747e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.423706176961602807e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.421035058430717868e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.418363939899832928e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.415692821368948273e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.413021702838063334e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.410350584307178394e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.407679465776293739e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.405008347245409084e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.402337228714524144e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.399666110183639489e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.396994991652754550e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.394323873121869610e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.391652754590984955e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.388981636060100300e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.386310517529215360e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.383639398998330705e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.380968280467445766e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.378297161936560826e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.375626043405675887e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.372954924874791232e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.370283806343906576e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.367612687813021637e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.364941569282136982e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.362270450751252042e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.359599332220367103e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.356928213689482448e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.354257095158597792e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.351585976627712853e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.348914858096828198e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.346243739565943258e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.343572621035058319e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.340901502504173664e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.338230383973288724e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.335559265442403785e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.332888146911519414e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.330217028380634474e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.327545909849749535e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.324874791318864595e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.322203672787979940e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.319532554257095001e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.316861435726210345e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.314190317195325690e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.311519198664440751e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.308848080133555811e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.306176961602671156e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.303505843071786217e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.300834724540901561e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.298163606010016622e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.295492487479131967e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.292821368948247027e+02,1.573249997000000121e+03,1.573250002500000164e+03
